Name;ASCII Name;Latitude;Longitude;Country Code;Population;Timezone;Country
Bemowo;Bemowo;52.2546;20.90844;PL;102393;Europe/Warsaw;Poland
Legnica;Legnica;51.21006;16.1619;PL;106033;Europe/Warsaw;Poland
Koszalin;Koszalin;54.19438;16.17222;PL;107450;Europe/Warsaw;Poland
Kalisz;Kalisz;51.76109;18.09102;PL;108759;Europe/Warsaw;Poland
Chorzów;Chorzow;50.30582;18.9742;PL;113430;Europe/Warsaw;Poland
Tarnów;Tarnow;50.01381;20.98698;PL;117799;Europe/Warsaw;Poland
Dąbrowa Górnicza;Dabrowa Gornicza;50.33394;19.20479;PL;118285;Europe/Warsaw;Poland
Zielona Góra;Zielona Gora;51.93548;15.50643;PL;118433;Europe/Warsaw;Poland
Włocławek;Wloclawek;52.64817;19.0678;PL;120339;Europe/Warsaw;Poland
Targówek;Targowek;52.29185;21.04845;PL;124279;Europe/Warsaw;Poland
Gorzów Wielkopolski;Gorzow Wielkopolski;52.73679;15.22878;PL;124430;Europe/Warsaw;Poland
Wałbrzych;Walbrzych;50.77141;16.28432;PL;127431;Europe/Warsaw;Poland
Płock;Plock;52.54682;19.70638;PL;127474;Europe/Warsaw;Poland
Elbląg;Elblag;54.1522;19.40884;PL;127558;Europe/Warsaw;Poland
Opole;Opole;50.67211;17.92533;PL;127676;Europe/Warsaw;Poland
Białołeka;Bialoleka;52.32127;20.97204;PL;129106;Europe/Warsaw;Poland
Tychy;Tychy;50.13717;18.96641;PL;130000;Europe/Warsaw;Poland
Śródmieście;Srodmiescie;52.22904;21.01644;PL;134306;Europe/Warsaw;Poland
Bielany;Bielany;52.29242;20.93531;PL;134854;Europe/Warsaw;Poland
Wola;Wola;52.23477;20.96004;PL;140958;Europe/Warsaw;Poland
Rybnik;Rybnik;50.09713;18.54179;PL;142510;Europe/Warsaw;Poland
Ruda Śląska;Ruda Slaska;50.2584;18.85632;PL;146189;Europe/Warsaw;Poland
Ursynów;Ursynow;52.15051;21.05041;PL;150668;Europe/Warsaw;Poland
Rzeszów;Rzeszow;50.04132;21.99901;PL;158382;Europe/Warsaw;Poland
Olsztyn;Olsztyn;53.77995;20.49416;PL;171803;Europe/Warsaw;Poland
Bielsko-Biala;Bielsko-Biala;49.82245;19.04686;PL;176515;Europe/Warsaw;Poland
Praga Południe;Praga Poludnie;52.24424;21.08545;PL;179836;Europe/Warsaw;Poland
Bytom;Bytom;50.34802;18.93282;PL;189186;Europe/Warsaw;Poland
Zabrze;Zabrze;50.32492;18.78576;PL;192177;Europe/Warsaw;Poland
Toruń;Torun;53.01375;18.59814;PL;198613;Europe/Warsaw;Poland
Gliwice;Gliwice;50.29761;18.67658;PL;198835;Europe/Warsaw;Poland
Kielce;Kielce;50.87033;20.62752;PL;208598;Europe/Warsaw;Poland
Mokotów;Mokotow;52.1934;21.03487;PL;217683;Europe/Warsaw;Poland
Radom;Radom;51.40253;21.14714;PL;226794;Europe/Warsaw;Poland
Sosnowiec;Sosnowiec;50.28682;19.10385;PL;227295;Europe/Warsaw;Poland
Gdynia;Gdynia;54.51889;18.53188;PL;244969;Europe/Warsaw;Poland
Częstochowa;Czestochowa;50.79646;19.12409;PL;248125;Europe/Warsaw;Poland
Białystok;Bialystok;53.13333;23.16433;PL;291855;Europe/Warsaw;Poland
Katowice;Katowice;50.25841;19.02754;PL;317316;Europe/Warsaw;Poland
Lublin;Lublin;51.25;22.56667;PL;360044;Europe/Warsaw;Poland
Bydgoszcz;Bydgoszcz;53.1235;18.00762;PL;366452;Europe/Warsaw;Poland
Szczecin;Szczecin;53.42894;14.55302;PL;407811;Europe/Warsaw;Poland
Gdańsk;Gdansk;54.35227;18.64912;PL;461865;Europe/Warsaw;Poland
Poznań;Poznan;52.40692;16.92993;PL;570352;Europe/Warsaw;Poland
Wrocław;Wroclaw;51.1;17.03333;PL;634893;Europe/Warsaw;Poland
Kraków;Krakow;50.06143;19.93658;PL;755050;Europe/Warsaw;Poland
Łódź;Lodz;51.77058;19.47395;PL;768755;Europe/Warsaw;Poland
Warsaw;Warsaw;52.22977;21.01178;PL;1702139;Europe/Warsaw;Poland
